code	market	time	pinyin	name
000540	sz	1994-02-02	ztjr	中天金融
000541	sz	1993-11-23	fszm	佛山照明
000543	sz	1993-12-20	wndl	皖能电力
000544	sz	1993-12-08	zyhb	中原环保
000545	sz	1993-12-15	jpty	金浦钛业
000546	sz	1993-12-15	jygf	金圆股份
000547	sz	1993-11-30	htfz	航天发展
000548	sz	1993-12-20	hntz	湖南投资
000550	sz	1993-12-01	jlqc	江铃汽车
000551	sz	1994-01-06	cykj	创元科技
000552	sz	1994-01-06	jymd	靖远煤电
000553	sz	1993-12-03	sldａ	沙隆达Ａ
000554	sz	1993-12-15	tssy	泰山石油
000555	sz	1994-04-08	szxx	神州信息
000557	sz	1994-06-17	xbcy	西部创业
000558	sz	1994-05-09	lyty	莱茵体育
000559	sz	1994-01-10	wxqc	万向钱潮
000560	sz	1994-02-02	kbdａ	昆百大Ａ
000561	sz	1994-05-09	fhdz	烽火电子
000563	sz	1994-01-10	sgtａ	陕国投Ａ
000564	sz	1994-01-10	gxdj	供销大集
000565	sz	1994-04-08	ysxａ	渝三峡Ａ
000566	sz	1994-05-25	hnhy	海南海药
000567	sz	1994-05-25	hdgf	海德股份
000568	sz	1994-05-09	lzlj	泸州老窖
000570	sz	1994-07-01	sccａ	苏常柴Ａ
000571	sz	1994-05-25	xdzａ	新大洲Ａ
000572	sz	1994-08-08	hmqc	海马汽车
000573	sz	1994-08-15	yhyａ	粤宏远Ａ
000576	sz	1994-09-07	gdgh	广东甘化
000581	sz	1998-09-24	wfgk	威孚高科
000582	sz	1995-11-02	bbwg	北部湾港
000584	sz	1995-11-28	ylkg	友利控股
000585	sz	1995-12-13	dbdq	东北电气
000586	sz	1995-12-20	hytx	汇源通信
000587	sz	1996-04-25	jzch	金洲慈航
000589	sz	1996-03-08	qltａ	黔轮胎Ａ
000590	sz	1996-01-19	qdgh	启迪古汉
000591	sz	1996-02-08	tyn	太阳能
000592	sz	1996-03-27	ptfz	平潭发展
000593	sz	1996-03-12	dtrq	大通燃气
000595	sz	1996-04-19	*stbs	*ST宝实
000596	sz	1996-09-27	gjgj	古井贡酒
000597	sz	1996-05-23	dbzy	东北制药
000598	sz	1996-05-29	xrhj	兴蓉环境
000599	sz	1996-04-30	qdsx	青岛双星
000600	sz	1996-06-06	jtny	建投能源
000601	sz	1996-08-30	sngf	韶能股份
000603	sz	1996-08-23	sdky	盛达矿业
000605	sz	1996-09-13	bhgf	渤海股份
000606	sz	1996-10-04	szyq	神州易桥
000607	sz	1996-08-30	hmkg	华媒控股
000608	sz	1996-09-19	yggf	阳光股份
000609	sz	1996-10-10	mstz	绵石投资
000610	sz	1996-09-26	xaly	西安旅游
000611	sz	1996-10-08	ts	*ST天首
000612	sz	1996-09-26	jzwf	焦作万方
000613	sz	1997-01-28	*stdha	*ST东海A
000615	sz	1996-10-16	jhgf	京汉股份
000616	sz	1996-11-08	hhtz	海航投资
000617	sz	1996-10-22	zyzb	中油资本
000619	sz	1996-10-23	hlxc	海螺型材
000620	sz	1996-10-29	xhl	新华联
000622	sz	1996-11-07	hl	*ST恒立
000623	sz	1996-10-28	jlad	吉林敖东
000625	sz	1997-06-10	caqc	长安汽车
000626	sz	1996-11-28	ydkg	远大控股
000627	sz	1996-11-12	tmjt	天茂集团
000628	sz	1996-11-18	gxfz	高新发展
000629	sz	1996-11-15	ft	*ST钒钛
000630	sz	1996-11-20	tlys	铜陵有色
000631	sz	1996-11-22	sfhy	顺发恒业
000632	sz	1996-11-21	smjt	三木集团
000633	sz	1996-11-12	hj	*ST合金
000635	sz	1996-11-20	ylt	英 力 特
000636	sz	1996-11-29	fhgk	风华高科
000637	sz	1996-11-14	mhsh	茂化实华
000638	sz	1996-11-26	wffz	万方发展
000639	sz	1996-11-26	xwsp	西王食品
000650	sz	1996-12-10	rhyy	仁和药业
000651	sz	1996-11-18	gldq	格力电器
000652	sz	1996-11-28	tdgf	泰达股份
000655	sz	1996-11-28	jlky	金岭矿业
000656	sz	1996-11-28	jkgf	金科股份
000657	sz	1996-12-05	zwgx	中钨高新
000659	sz	1996-12-03	zhzf	珠海中富
000661	sz	1996-12-18	ccgx	长春高新
000662	sz	1996-12-16	txzh	天夏智慧
000663	sz	1996-12-06	yaly	永安林业
000665	sz	1996-12-10	hbgd	湖北广电
000666	sz	1996-12-10	jwfj	经纬纺机
000667	sz	1996-12-05	mhzy	美好置业
000668	sz	1996-12-10	rfkg	荣丰控股
000669	sz	1996-12-10	jhny	金鸿能源
000670	sz	1996-12-17	yfw	盈方微
000671	sz	1996-12-18	ygc	阳 光 城
000672	sz	1996-12-18	sfsn	上峰水泥
000673	sz	1997-01-24	dddf	当代东方
000676	sz	1996-12-24	zdgf	智度股份
000677	sz	1996-12-26	hthl	恒天海龙
000678	sz	1997-01-06	xyzc	襄阳轴承
000679	sz	1997-01-24	dlyy	大连友谊
000680	sz	1997-01-22	stgf	山推股份
000681	sz	1997-01-21	sjzg	视觉中国
000682	sz	1997-01-21	dfdz	东方电子
000683	sz	1997-01-31	yxny	远兴能源
000685	sz	1997-01-23	zsgy	中山公用
000686	sz	1997-02-27	dbzq	东北证券
000687	sz	1997-02-21	hxfz	华讯方舟
000688	sz	1997-01-20	jxky	建新矿业
000690	sz	1997-01-28	bxny	宝新能源
000691	sz	1997-02-28	yt	ST亚太
000692	sz	1997-02-27	htrd	惠天热电
000693	sz	1997-02-26	hz	ST华泽
000695	sz	1997-02-18	bhny	滨海能源
000697	sz	1997-03-25	lsys	炼石有色
000698	sz	1997-02-20	cyhg	沈阳化工
000700	sz	1997-02-28	mskj	模塑科技
000701	sz	1997-02-26	smxd	厦门信达
000702	sz	1997-03-18	zhkj	正虹科技
000703	sz	1997-03-28	hysh	恒逸石化
000705	sz	1997-04-10	zjzy	浙江震元
000707	sz	1997-04-15	shkj	双环科技
000708	sz	1997-03-26	dytg	大冶特钢
000709	sz	1997-04-16	hggf	河钢股份
000710	sz	1997-04-22	*stty	*ST天仪
000711	sz	1997-04-11	jlkj	京蓝科技
000712	sz	1997-04-15	jlgf	锦龙股份
000713	sz	1997-04-22	flzy	丰乐种业
000715	sz	1997-05-08	zxsy	中兴商业
000716	sz	1997-04-18	hzm	黑芝麻
000717	sz	1997-05-08	sgss	韶钢松山
000718	sz	1997-04-08	snhq	苏宁环球
000719	sz	1997-03-31	ddcm	大地传媒
000720	sz	1997-05-09	xnts	新能泰山
000721	sz	1997-04-30	xays	西安饮食
000722	sz	1997-05-22	hnfz	湖南发展
000723	sz	1997-05-15	mjny	美锦能源
000725	sz	2001-01-12	jdfａ	京东方Ａ
000726	sz	2000-12-25	ltａ	鲁 泰Ａ
000727	sz	1997-05-20	hdkj	华东科技
000728	sz	1997-06-16	gyzq	国元证券
000729	sz	1997-07-16	yjpj	燕京啤酒
000731	sz	1997-06-17	scmf	四川美丰
000732	sz	1997-07-04	thjt	泰禾集团
000733	sz	1997-07-03	zhkj	振华科技
000735	sz	1997-06-11	lns	罗 牛 山
000736	sz	1997-04-25	zfdc	中房地产
000737	sz	1997-04-28	nfhg	南风化工
000738	sz	1997-06-26	zhdk	中航动控
000739	sz	1997-05-09	plyy	普洛药业
000748	sz	--	ccxx	
000750	sz	1997-07-09	ghzq	国海证券
000751	sz	1997-06-26	xygf	锌业股份
000752	sz	1997-06-25	xcfz	西藏发展
000753	sz	1997-06-26	zzfz	漳州发展
000755	sz	1997-06-27	*stsw	*ST三维
000756	sz	1997-08-06	xhzy	新华制药
000757	sz	1997-06-27	hwgf	浩物股份
000758	sz	1997-04-16	zsgf	中色股份
000759	sz	1997-05-19	zbjt	中百集团
000760	sz	1997-06-27	ste	斯太尔
000761	sz	1998-01-15	bgbc	本钢板材
000762	sz	1997-07-08	xcky	西藏矿业
000766	sz	1997-04-30	thjm	通化金马
000767	sz	1997-06-09	zzdl	漳泽电力
000768	sz	1997-06-26	zhfj	中航飞机
000776	sz	1997-06-11	gfzq	广发证券
000777	sz	1997-07-10	zhkj	中核科技
000778	sz	1997-06-06	xxzg	新兴铸管
000779	sz	1997-05-28	smps	三毛派神
000780	sz	1997-06-06	pzny	平庄能源
000782	sz	1997-06-19	mdgf	美达股份
000783	sz	1997-07-31	cjzq	长江证券
000785	sz	1997-07-11	whzs	武汉中商
000786	sz	1997-06-06	bxjc	北新建材
000788	sz	1997-06-16	bdyy	北大医药
000789	sz	1997-09-23	wnq	万年青
000790	sz	1998-03-27	thjk	泰合健康
000791	sz	1997-10-14	gsdt	甘肃电投
000792	sz	1997-09-04	yhgf	盐湖股份
000793	sz	1997-07-29	hwcm	华闻传媒
000795	sz	1997-08-08	ylh	英洛华
000796	sz	1997-07-03	ksly	凯撒旅游
000797	sz	1997-07-15	zgwy	中国武夷
000798	sz	1998-02-12	zsyy	中水渔业
000799	sz	1997-07-18	jgj	酒鬼酒
000800	sz	1997-06-18	yqjc	一汽轿车
000801	sz	1998-05-06	scjz	四川九洲
000802	sz	1998-01-08	bjwh	北京文化
000803	sz	1998-03-03	*stjy	*ST金宇
000806	sz	1998-04-16	yhsw	银河生物
000807	sz	1998-04-08	ylgf	云铝股份
000809	sz	1998-06-16	tlxc	铁岭新城
000810	sz	1998-06-02	cwsz	创维数字
000811	sz	1998-05-28	ytbl	烟台冰轮
000812	sz	1998-06-23	sxjy	陕西金叶
000813	sz	1998-05-19	dzjk	德展健康
000815	sz	1998-06-09	mly	美利云
000816	sz	1997-08-18	zhny	智慧农业
000818	sz	1997-10-17	fdhg	方大化工
000819	sz	1997-06-25	yyxc	岳阳兴长
000820	sz	1998-06-30	swjn	神雾节能
000821	sz	1998-06-26	jsqj	京山轻机
000822	sz	1998-07-03	sdhh	山东海化
000823	sz	1997-10-08	csdz	超声电子
000825	sz	1998-10-21	tgbx	太钢不锈
000826	sz	1998-02-25	qdsd	启迪桑德
000828	sz	1997-06-17	dwkg	东莞控股
000829	sz	1997-12-02	tykg	天音控股
000830	sz	1998-08-07	lxhg	鲁西化工
000831	sz	1998-09-11	wx	*ST五稀
000833	sz	1998-11-11	gtgf	贵糖股份
000835	sz	1999-06-25	ccdm	长城动漫
000836	sz	1997-09-29	xmkj	鑫茂科技
000837	sz	1998-09-28	qcjc	秦川机床
000838	sz	1997-06-26	cxfz	财信发展
000839	sz	1997-10-31	zxga	中信国安
000848	sz	1997-11-13	cdll	承德露露
000850	sz	1998-10-07	hmgf	华茂股份
000851	sz	1998-06-09	ghgf	高鸿股份
000852	sz	1998-11-26	shjx	石化机械
000856	sz	1998-08-13	jdzb	冀东装备
000858	sz	1998-04-27	wly	五 粮 液
000859	sz	1998-11-19	gfsy	国风塑业
000860	sz	1998-11-04	sxny	顺鑫农业
000861	sz	1998-10-28	hygf	海印股份
000862	sz	1998-09-15	yxny	银星能源
000863	sz	1997-09-25	sxyx	三湘印象
000868	sz	1997-07-25	akkc	安凯客车
000869	sz	2000-10-26	zyａ	张 裕Ａ
000875	sz	2002-09-26	jdgf	吉电股份
000876	sz	1998-03-11	xxw	新 希 望
000877	sz	1999-01-07	tsgf	天山股份
000878	sz	1998-06-02	ynty	云南铜业
000880	sz	1998-04-02	wccj	潍柴重机
000881	sz	1998-09-02	zghj	中广核技
000882	sz	1998-06-16	hlgf	华联股份
000883	sz	1998-05-19	hbny	湖北能源
000885	sz	1999-03-19	tlsn	同力水泥
000886	sz	1998-01-23	hngs	海南高速
000887	sz	1998-12-03	zdgf	中鼎股份
000888	sz	1997-10-21	emsａ	峨眉山Ａ
000889	sz	1997-12-18	mytx	茂业通信
000890	sz	1999-01-19	fes	法 尔 胜
000892	sz	1999-01-15	hrsj	欢瑞世纪
000893	sz	1998-12-24	dlgj	东凌国际
000895	sz	1998-12-10	shfz	双汇发展
000897	sz	1999-04-22	jbfz	津滨发展
000898	sz	1997-12-25	aggf	鞍钢股份
000899	sz	1997-11-26	gngf	赣能股份
